candidate_id,rank,final_score
CAND_0000031,1,0.6315090343402102
CAND_0000014,2,0.40138115262261637
CAND_0000009,3,0.353846756166209
CAND_0000018,4,0.3447914808046272
CAND_0000015,5,0.32409270406476764
CAND_0000017,6,0.3218841979452254
CAND_0000043,7,0.3150810547882513
CAND_0000016,8,0.3064168927809783
CAND_0000021,9,0.3027528725267077
CAND_0000045,10,0.29605867642155687
CAND_0000011,11,0.29339525460318205
CAND_0000002,12,0.29249193023979914
CAND_0000019,13,0.2899966360466366
CAND_0000048,14,0.28824682140356656
CAND_0000030,15,0.2870987360284181
CAND_0000026,16,0.2839730341740716
CAND_0000029,17,0.2788665554417925
CAND_0000050,18,0.2709394161398567
CAND_0000010,19,0.2702906515904462
CAND_0000023,20,0.2656912379198586
CAND_0000025,21,0.26512146157392874
CAND_0000033,22,0.26471828273446474
CAND_0000037,23,0.2640057890286915
CAND_0000004,24,0.25309090010011004
CAND_0000001,25,0.2519980935503926
CAND_0000049,26,0.24953522857271665
CAND_0000032,27,0.24864210524973046
CAND_0000006,28,0.24781187691520584
CAND_0000039,29,0.24537429031652097
CAND_0000041,30,0.24353861865000742
CAND_0000044,31,0.24339692157387224
CAND_0000036,32,0.24242433795150536
CAND_0000027,33,0.238488148374195
CAND_0000034,34,0.23389334874088036
CAND_0000038,35,0.22614019562107826
CAND_0000024,36,0.22482842350135737
CAND_0000035,37,0.221849557065282
CAND_0000020,38,0.22024788459130346
CAND_0000022,39,0.22016633881501335
CAND_0000040,40,0.21808003855317382
CAND_0000046,41,0.21733339677974367
CAND_0000042,42,0.21570370190538052
CAND_0000012,43,0.21360501781632862
CAND_0000005,44,0.2129374546983925
CAND_0000028,45,0.1975517754207042
CAND_0000008,46,0.19711588480039324
CAND_0000007,47,0.1966130834967676
CAND_0000047,48,0.19407456979393417
CAND_0000003,49,0.1926448635941907
CAND_0000013,50,0.18134413214539014
