candidate_id,rank,final_score
CAND_0080766,1,0.6449790209436246
CAND_0077337,2,0.6087464837985695
CAND_0093547,3,0.6024205040888374
CAND_0018499,4,0.569234182289863
CAND_0017960,5,0.5672017040315247
CAND_0026532,6,0.5626253975547477
CAND_0055992,7,0.5581732697001905
CAND_0042506,8,0.5550957717497359
CAND_0041669,9,0.5503539204906899
CAND_0053695,10,0.5486197030631647
CAND_0086151,11,0.548160762685044
CAND_0061265,12,0.5396107194794496
CAND_0006557,13,0.5343903839216624
CAND_0008425,14,0.5333725410465053
CAND_0039754,15,0.5298107650602182
CAND_0092278,16,0.5279954231710002
CAND_0077285,17,0.5256327170618289
CAND_0081846,18,0.5230658487940075
CAND_0018549,19,0.5203686134303825
CAND_0088025,20,0.5202537216326397
CAND_0018722,21,0.5200327494118457
CAND_0028793,22,0.5168940572495534
CAND_0014440,23,0.5144738724753766
CAND_0033861,24,0.5110495516876156
CAND_0011162,25,0.5091442218083955
CAND_0041610,26,0.5064686071660353
CAND_0044883,27,0.504057378016405
CAND_0005649,28,0.4999777974989385
CAND_0086022,29,0.491024759972056
CAND_0083307,30,0.49035328074907847
CAND_0081686,31,0.48845857285123967
CAND_0071974,32,0.48415824714565026
CAND_0024466,33,0.4773508182222802
CAND_0060054,34,0.47647395280981464
CAND_0065195,35,0.4762321138067223
CAND_0041611,36,0.46915815787020976
CAND_0046525,37,0.46515143892563476
CAND_0040117,38,0.4650861595591744
CAND_0066376,39,0.46460474016204195
CAND_0041568,40,0.46185834483079247
CAND_0070398,41,0.4614026135800248
CAND_0002025,42,0.4606611430495998
CAND_0062247,43,0.4568486171527623
CAND_0044855,44,0.4543340103680169
CAND_0007411,45,0.452660376576248
CAND_0055905,46,0.45202744570959014
CAND_0031593,47,0.44836444795405395
CAND_0076251,48,0.4483363717641945
CAND_0030953,49,0.44284333478362414
CAND_0064326,50,0.44242236889768277
CAND_0051630,51,0.433111684842885
CAND_0005260,52,0.43164859265831024
CAND_0001610,53,0.4270006901515391
CAND_0076904,54,0.42665518582719597
CAND_0060072,55,0.42275214960903246
CAND_0046064,56,0.4223218267448944
CAND_0011687,57,0.4180570540766777
CAND_0094759,58,0.4122335225602549
CAND_0015528,59,0.4094234507417427
CAND_0069905,60,0.407745916543702
CAND_0010257,61,0.4029471201551815
CAND_0042029,62,0.400141812588998
CAND_0013613,63,0.39625647741303155
CAND_0095528,64,0.3959021611996698
CAND_0089552,65,0.3922402076394724
CAND_0096172,66,0.3917648992280383
CAND_0093912,67,0.38707929040533623
CAND_0006418,68,0.3843231458853797
CAND_0009024,69,0.3826632512846758
CAND_0013536,70,0.3818829367734921
CAND_0040887,71,0.38084281209144843
CAND_0019480,72,0.38042110657673556
CAND_0079387,73,0.37814000650216234
CAND_0050454,74,0.37781560045459583
CAND_0091909,75,0.3773107723497623
CAND_0044222,76,0.37710979128454364
CAND_0045250,77,0.36615844033531864
CAND_0020877,78,0.36526793601859076
CAND_0057563,79,0.3649373826267579
CAND_0068811,80,0.36439573088016863
CAND_0096142,81,0.36433111725623124
CAND_0047721,82,0.3626712575483777
CAND_0075574,83,0.3618053709194252
CAND_0037566,84,0.3599883300898685
CAND_0051292,85,0.3583091771694737
CAND_0091534,86,0.3550936156253535
CAND_0075249,87,0.3536093543314232
CAND_0079064,88,0.3506604192143907
CAND_0027691,89,0.3482203212944169
CAND_0011432,90,0.347659211586169
CAND_0037944,91,0.34620846514130127
CAND_0094056,92,0.34313093861679844
CAND_0007009,93,0.3407503362349953
CAND_0053591,94,0.34073077376412164
CAND_0064270,95,0.33715452036831933
CAND_0029367,96,0.33315983169269714
CAND_0027801,97,0.3304827474567265
CAND_0093331,98,0.32888778335299396
CAND_0016163,99,0.3214746357077226
CAND_0009691,100,0.3164536115828695
